age_group,id,abundance,table2_taxon,profile_taxon,model_species_id,species_label,diet,growth_rate,grows_in_diet,growth_rate_full_access,grows_full_access,nongrowing_due_to_competition_or_diet,exchange_flux_raw,net_lysine_exchange_flux_to_environment,lysine_export_flux_to_environment,lysine_uptake_flux_from_environment,LYSabc,LYSt2r,LYSt3,LYSt3r,shown_in_growth_figure,rank_lysine_export_within_panel
61_70,Bacteroides_dorei_DSM_17855_AGORA1_03,0.0332419398335446,Bacteroides dorei,s__Bacteroides_dorei,Bacteroides_dorei_DSM_17855_AGORA1_03,Bacteroides dorei,western,0.0823912315712476,True,1.068526775861392,True,False,-0.0274815952905896,-0.0274815952905896,0.0,0.0274815952905896,0.0,0.0,0.0,-0.0274815952905896,True,2
61_70,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.0504197179075042,Escherichia coli,s__Escherichia_coli,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia coli,western,0.1268581492016043,True,1.62094796786907,True,False,-15.628121352126506,-15.628121352126506,0.0,15.628121352126506,0.0,15.628121352126504,0.0,0.0,True,2
61_70,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.8049498195994165,Faecalibacterium prausnitzii,s__Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium prausnitzii,western,1.3496475606772718,True,25.872444549874302,True,False,-0.4368809153912328,-0.4368809153912328,0.0,0.4368809153912328,0.0,0.4368809153912328,0.0,0.0,True,2
61_70,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.017653918759245,Parabacteroides merdae,s__Parabacteroides_merdae,Parabacteroides_merdae_ATCC_43184_AGORA1_03,Parabacteroides merdae,western,0.0446430162430093,True,0.5674653400441229,True,False,-0.0148906780678557,-0.0148906780678557,0.0,0.0148906780678557,0.0,0.0,0.0,-0.0148906780678557,True,2
61_70,Alistipes_onderdonkii_DSM_19147_AGORA1_03,0.0,Alistipes onderdonkii,s__Alistipes_onderdonkii,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Alistipes onderdonkii,western,0.0,False,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2
61_70,Alistipes_shahii_WAL_8301_AGORA1_03,0.0,Alistipes shahii,s__Alistipes_shahii,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes shahii,western,0.0,False,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2
61_70,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.0,Bacteroides xylanisolvens,s__Bacteroides_xylanisolvens,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Bacteroides xylanisolvens,western,0.0,False,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2
61_70,Bilophila_wadsworthia_3_1_6_AGORA1_03,0.0,Bilophila unclassified,s__Bilophila_wadsworthia,Bilophila_wadsworthia_3_1_6_AGORA1_03,Bilophila unclassified,western,0.0,False,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2
61_70,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,0.0,Klebsiella pneumoniae,s__Klebsiella_pneumoniae,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,Klebsiella pneumoniae,western,0.0,False,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2
71_80,Alistipes_onderdonkii_DSM_19147_AGORA1_03,0.1380956664475209,Alistipes onderdonkii,s__Alistipes_onderdonkii,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Alistipes onderdonkii,high_fiber,0.5967633650277573,True,15.712458767526837,True,False,7.056091065223605,7.056091065223605,7.056091065223605,0.0,0.0,-7.056091065223605,0.0,0.0,True,1
